縣市代號,縣市,大類別,小類別代號,小類別名稱,地標名稱,緯度,經度
C,基隆市,交通運輸,11,火車站,基隆市臺鐵百福站,25.07800454859797,121.69376275268938
C,基隆市,交通運輸,11,火車站,基隆市臺鐵七堵車站,25.09323433879263,121.71451442090004
C,基隆市,交通運輸,11,火車站,基隆市臺鐵基隆車站,25.13228953802921,121.73939741512973
C,基隆市,交通運輸,11,火車站,基隆市臺鐵暖暖車站,25.102168400354515,121.73979985064909
C,基隆市,交通運輸,11,火車站,基隆市臺鐵八堵站,25.10833903604896,121.72888441412695
C,基隆市,交通運輸,11,火車站,基隆火車站,25.132265006008627,121.73945199990986
C,基隆市,交通運輸,11,火車站,三坑火車站,25.12297700152769,121.74199899987828
C,基隆市,交通運輸,11,火車站,三坑火車站,25.12297700152769,121.74199899987828
C,基隆市,交通運輸,11,火車站,百福火車站,25.077903000792652,121.69341099988188
C,基隆市,交通運輸,11,火車站,七堵火車站,25.093243000072846,121.71456699987718
C,基隆市,交通運輸,11,火車站,暖暖火車站,25.10223700785538,121.74014799991724
C,基隆市,交通運輸,11,火車站,八堵火車站,25.10838100324495,121.72908599988945
C,基隆市,交通運輸,12,客運站,國光客運-基隆車站,25.131924997768007,121.73947499985596
C,基隆市,交通運輸,12,客運站,基隆市公共汽車管理處總站,25.132410003472703,121.74022799988789
C,基隆市,交通運輸,12,客運站,基隆市公共汽車-太白莊分站,25.15114100754708,121.74366599991896
C,基隆市,交通運輸,12,客運站,基隆市公共汽車-安樂分站,25.130793999345816,121.72287699986676
C,基隆市,交通運輸,12,客運站,基隆市公共汽車-望海巷分站,25.136178008212884,121.80205299991253
C,基隆市,交通運輸,12,客運站,基隆市公共汽車管理處,25.14093700741436,121.75804399990993
C,基隆市,交通運輸,12,客運站,大有巴士-暖暖站,25.09848000808765,121.747449999921
C,基隆市,交通運輸,12,客運站,基隆市公共汽車-暖暖分站,25.102675004527654,121.73871799990253
C,基隆市,交通運輸,17,碼頭,基隆市望海巷漁港,25.137563011565014,121.80277652252875
C,基隆市,交通運輸,17,碼頭,基隆市碧砂漁港,25.147026141799152,121.78660755776545
C,基隆市,交通運輸,17,碼頭,基隆市八斗子漁港,25.145743368254355,121.79187640731053
C,基隆市,交通運輸,17,碼頭,基隆市八尺門港,25.155917213267475,121.77282773077607
C,基隆市,交通運輸,17,碼頭,基隆市外木山漁港,25.16033796642275,121.73446434279212
C,基隆市,交通運輸,17,碼頭,基隆市基隆港,25.141036101354416,121.75029454762615
C,基隆市,交通運輸,17,碼頭,基隆漁港,25.152581001758147,121.76500999987239
C,基隆市,交通運輸,17,碼頭,基隆市基隆外港,25.15204870367088,121.75571789518308
C,基隆市,交通運輸,17,碼頭,基隆嶼,25.192213004526668,121.78453799989256
C,基隆市,交通運輸,17,碼頭,外木山漁港,25.16049401228219,121.73397699994385
C,基隆市,交通運輸,17,碼頭,基隆漁港,25.152581001758147,121.76500999987239
C,基隆市,交通運輸,17,碼頭,牛稠港,25.14216099708676,121.74093099984863
C,基隆市,交通運輸,17,碼頭,牛稠港,25.14216099708676,121.74093099984863
C,基隆市,交通運輸,17,碼頭,大武崙漁港,25.16985900711453,121.70870399991594
C,基隆市,交通運輸,17,碼頭,基隆外港,25.154473001867576,121.76007199987833
C,基隆市,交通運輸,17,碼頭,基隆港,25.13939900594429,121.75199199990952
