縣市代號,縣市,大類別,小類別代號,小類別名稱,地標名稱,緯度,經度
D,臺南市,交通運輸,11,火車站,臺南市臺鐵中洲車站,22.90453131426435,120.25273642819946
D,臺南市,交通運輸,11,火車站,臺南市臺鐵隆田車站,23.1925946155962,120.31928219963206
D,臺南市,交通運輸,11,火車站,臺南市臺鐵臺南車站,22.997153591041386,120.2127502732397
D,臺南市,交通運輸,11,火車站,臺南市臺鐵大橋車站,23.01922359682874,120.2243014258218
D,臺南市,交通運輸,11,火車站,臺南市臺鐵南科車站,23.107313510846144,120.30198597973045
D,臺南市,交通運輸,11,火車站,臺南市臺鐵長榮大學車站,22.90715727396437,120.2722368219418
D,臺南市,交通運輸,11,火車站,臺南市臺鐵保安車站,22.933156819773426,120.23148842543439
D,臺南市,交通運輸,11,火車站,後壁火車站,23.36625400094897,120.36051300007414
D,臺南市,交通運輸,11,火車站,臺南市臺鐵沙崙車站,22.923910107511265,120.28626402723948
D,臺南市,交通運輸,11,火車站,臺南市臺鐵善化車站,23.13334963199193,120.30643784423667
D,臺南市,交通運輸,11,火車站,臺南市臺鐵新營車站,23.306832221610396,120.32317378272043
D,臺南市,交通運輸,11,火車站,臺南市臺鐵林鳳營車站,23.242683820927894,120.32122486093901
D,臺南市,交通運輸,11,火車站,臺南市臺鐵永康車站,23.03836114176808,120.2535189157725
D,臺南市,交通運輸,11,火車站,臺南市臺鐵拔林車站,23.172611331478876,120.32137228591778
D,臺南市,交通運輸,11,火車站,後壁火車站,23.36625400094897,120.36051300007414
D,臺南市,交通運輸,11,火車站,鹽水火車站(閒),23.322843003965897,120.26288400007026
D,臺南市,交通運輸,11,火車站,新營火車站,23.30678200512604,120.32313200006136
D,臺南市,交通運輸,11,火車站,林鳳營火車站,23.24261000666233,120.32093100004502
D,臺南市,交通運輸,11,火車站,隆田火車站,23.19269099894706,120.31921400008564
D,臺南市,交通運輸,11,火車站,拔林火車站,23.172552002039783,120.32141100007529
D,臺南市,交通運輸,11,火車站,柳營火車站,23.277499991334253,120.32254200012615
