縣市代號,縣市,大類別,小類別代號,小類別名稱,地標名稱,緯度,經度
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵東海車站,22.398975022780846,120.57231460516746
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵枋寮車站,22.368087354346848,120.59510343422637
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵佳冬車站,22.41412061255033,120.5476559834351
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵內獅車站,22.30586078877273,120.64381617320757
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵加祿車站,22.330873082934932,120.62451626037489
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵崁頂車站,22.51301353924691,120.51475342564903
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵潮州車站,22.550089887446692,120.53646537728007
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵六塊厝車站,22.665929477190538,120.46495347172433
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵歸來車站,22.652358513117175,120.50302768408336
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵西勢車站,22.616397489729152,120.5266408833408
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵林邊車站,22.43162317441307,120.51559588797593
T,屏東縣,交通運輸,11,火車站,屏東縣臺鐵麟洛車站,22.635102089024507,120.51417509786049
T,屏東縣,交通運輸,11,火車站,屏東火車站,22.6692529992483,120.48616200005287
T,屏東縣,交通運輸,11,火車站,屏東火車站,22.6692529992483,120.48616200005287
T,屏東縣,交通運輸,11,火車站,六塊厝火車站,22.666009995592056,120.4649330000701
T,屏東縣,交通運輸,11,火車站,歸來火車站,22.65222400186222,120.50290500004239
T,屏東縣,交通運輸,11,火車站,崁頂火車站,22.513441998435162,120.51512000005255
T,屏東縣,交通運輸,11,火車站,西勢火車站,22.616449999786944,120.52661000005052
T,屏東縣,交通運輸,11,火車站,竹田火車站,22.586455000496905,120.53994900004169
T,屏東縣,交通運輸,11,火車站,竹田火車站,22.586455000496905,120.53994900004169
T,屏東縣,交通運輸,11,火車站,麟洛火車站,22.63480199984704,120.5143920000479
T,屏東縣,交通運輸,11,火車站,南州火車站,22.492050993072855,120.51179700007002
T,屏東縣,交通運輸,11,火車站,南州火車站,22.492050993072855,120.51179700007002
T,屏東縣,交通運輸,11,火車站,佳冬火車站,22.413979002862735,120.54775500003734
T,屏東縣,交通運輸,11,火車站,建興火車站(閒),22.385640006377972,120.58225500002472
T,屏東縣,交通運輸,11,火車站,東海火車站,22.399010001152266,120.57235700003739
T,屏東縣,交通運輸,11,火車站,枋寮火車站,22.36799099701862,120.59513000004888
T,屏東縣,交通運輸,11,火車站,加祿火車站,22.330971006084052,120.62461800001745
T,屏東縣,交通運輸,11,火車站,內獅火車站,22.3062259928599,120.64335000005524
T,屏東縣,交通運輸,11,火車站,枋山火車站,22.267127000258288,120.65965100002857
T,屏東縣,交通運輸,11,火車站,枋山火車站,22.267127000258288,120.65965100002857
T,屏東縣,交通運輸,11,火車站,枋野火車站(號),22.280795990996054,120.7171660000411
T,屏東縣,交通運輸,11,火車站,枋野火車站(號),22.280795990996054,120.7171660000411
T,屏東縣,交通運輸,11,火車站,潮州火車站,22.549963003111802,120.53636200003811
T,屏東縣,交通運輸,11,火車站,大鶻火車站(閒),22.456380997640558,120.48590200005793
T,屏東縣,交通運輸,11,火車站,林邊火車站,22.431482001510933,120.51571700003956
T,屏東縣,交通運輸,11,火車站,鎮安火車站,22.45795599743158,120.5112270000571
T,屏東縣,交通運輸,12,客運站,屏東縣國光客運枋寮站,22.367269044393925,120.5943935353234
T,屏東縣,交通運輸,12,客運站,屏東縣統聯客運麟洛站,22.654020614664574,120.52125717251079
T,屏東縣,交通運輸,12,客運站,屏東客運-高樹站,22.82736099869698,120.60048800004593
T,屏東縣,交通運輸,12,客運站,屏東縣國光客運麟洛站,22.647977233649115,120.52950173972857
T,屏東縣,交通運輸,12,客運站,屏東客運-里港站,22.7742679973706,120.49416800006274
T,屏東縣,交通運輸,12,客運站,屏東客運-三地門站,22.70605599902367,120.64085400003546
T,屏東縣,交通運輸,12,客運站,屏東車站,22.669889992855715,120.48597600007804
T,屏東縣,交通運輸,12,客運站,屏東車站,22.669889992855715,120.48597600007804
T,屏東縣,交通運輸,12,客運站,屏東客運-屏東總站,22.669781993899647,120.4852160000802
T,屏東縣,交通運輸,12,客運站,屏東客運-屏東總站,22.669781993899647,120.4852160000802
T,屏東縣,交通運輸,12,客運站,屏東客運-屏東總站,22.669781993899647,120.4852160000802
