縣市代號,縣市,大類別,小類別代號,小類別名稱,地標名稱,緯度,經度
X,澎湖縣,交通運輸,12,客運站,澎湖縣政府公共車船管理處,23.556001995633324,119.60025499989965
X,澎湖縣,交通運輸,16,航空站,澎湖縣交通部民用航空局馬公航空站,23.56079974870562,119.6296319267469
X,澎湖縣,交通運輸,16,航空站,澎湖縣交通部民用航空局望安航空站,23.36727230975858,119.50195191156044
X,澎湖縣,交通運輸,16,航空站,七美輔助站七美機場,23.211130006075805,119.41924399996005
X,澎湖縣,交通運輸,16,航空站,交通部民用航空局七美航空站,23.211609991633114,119.41788899991637
X,澎湖縣,交通運輸,16,航空站,望安輔助站望安機場,23.371400007646844,119.50457599995784
X,澎湖縣,交通運輸,16,航空站,交通部民用航空局望安航空站,23.367318994252223,119.50190799991235
X,澎湖縣,交通運輸,16,航空站,馬公航空站馬公機場,23.5607809964757,119.62985799988974
X,澎湖縣,交通運輸,17,碼頭,澎湖縣散崎港,23.377175350262213,119.50889337770121
X,澎湖縣,交通運輸,17,碼頭,澎湖縣風櫃東漁港,23.542594446339333,119.55086540854276
X,澎湖縣,交通運輸,17,碼頭,澎湖縣漁人碼頭,23.56227159482721,119.5604143313386
X,澎湖縣,交通運輸,17,碼頭,澎湖縣時里漁港,23.528881275829733,119.57191063814753
X,澎湖縣,交通運輸,17,碼頭,澎湖縣沙港中漁港,23.60755211578562,119.62581751061767
X,澎湖縣,交通運輸,17,碼頭,澎湖縣岐頭漁港,23.648650959961127,119.60913549859126
X,澎湖縣,交通運輸,17,碼頭,澎湖縣馬公第三漁港,23.56581633577411,119.57475955882397
X,澎湖縣,交通運輸,17,碼頭,澎湖縣潭邊漁港,23.594011494593847,119.60686991677379
X,澎湖縣,交通運輸,17,碼頭,澎湖縣員貝漁港,23.646399898967243,119.63102504736146
X,澎湖縣,交通運輸,17,碼頭,澎湖縣七美(魚月)鯉港,23.1939569126665,119.42976991926943
X,澎湖縣,交通運輸,17,碼頭,澎湖縣風櫃西漁港,23.54204004687469,119.540928830238
X,澎湖縣,交通運輸,17,碼頭,澎湖縣吉貝漁港,23.741045187916317,119.6121462371087
X,澎湖縣,交通運輸,17,碼頭,澎湖縣大倉漁港,23.616926169807524,119.56892222635285
X,澎湖縣,交通運輸,17,碼頭,澎湖縣青螺船澳,23.602510000059983,119.64734605701541
X,澎湖縣,交通運輸,17,碼頭,澎湖縣沙港西漁港,23.606239699977273,119.62001460310064
X,澎湖縣,交通運輸,17,碼頭,澎湖縣重光漁港,23.585279609007003,119.57106749439846
X,澎湖縣,交通運輸,17,碼頭,澎湖縣通梁西港漁港,23.65839793794921,119.55262795497401
X,澎湖縣,交通運輸,17,碼頭,澎湖縣水垵漁港,23.38827346612841,119.49476112774845
X,澎湖縣,交通運輸,17,碼頭,澎湖縣井垵漁港,23.52331641960968,119.57883552377038
X,澎湖縣,交通運輸,17,碼頭,澎湖縣鳥嶼漁港,23.659991490618932,119.65783145683237
X,澎湖縣,交通運輸,17,碼頭,澎湖縣瓦硐漁港,23.65815512217618,119.58155953209044
X,澎湖縣,交通運輸,17,碼頭,澎湖縣案山漁港,23.55896709279311,119.57275991795849
X,澎湖縣,交通運輸,17,碼頭,澎湖縣虎井漁港,23.487148825686578,119.51687192558832
X,澎湖縣,交通運輸,17,碼頭,澎湖縣南滬港,23.194734573764553,119.41993836920598
X,澎湖縣,交通運輸,17,碼頭,澎湖縣菜園漁港,23.548781639051555,119.59513644173956
X,澎湖縣,交通運輸,17,碼頭,澎湖縣果葉漁港,23.577305705039727,119.6811687773925
X,澎湖縣,交通運輸,17,碼頭,澎湖縣龍門漁港,23.557451292930985,119.67562737425706
X,澎湖縣,交通運輸,17,碼頭,澎湖縣通梁漁港,23.65593501698758,119.55668042419717
X,澎湖縣,交通運輸,17,碼頭,澎湖縣鐵線漁港,23.532320917951406,119.59765044221594
X,澎湖縣,交通運輸,17,碼頭,澎湖縣沙港東漁港,23.603998503171713,119.62954735160004
X,澎湖縣,交通運輸,17,碼頭,澎湖縣講美漁港,23.6362776781234,119.60082022346417
X,澎湖縣,交通運輸,17,碼頭,澎湖縣南北寮漁港,23.597123513373592,119.66825686123791
X,澎湖縣,交通運輸,17,碼頭,澎湖縣尖山漁港,23.56177709098868,119.66794834072388
X,澎湖縣,交通運輸,17,碼頭,澎湖縣安宅漁港,23.5771259216313,119.59813615388083
X,澎湖縣,交通運輸,17,碼頭,澎湖縣西衛漁港,23.580601214671862,119.58433527997047
X,澎湖縣,交通運輸,17,碼頭,澎湖縣烏崁漁港,23.54432895438574,119.62428619372383
X,澎湖縣,交通運輸,17,碼頭,澎湖縣前寮漁港,23.551125895713344,119.58770476936192
X,澎湖縣,交通運輸,17,碼頭,澎湖縣橫礁漁港,23.633642383166794,119.537812780728
X,澎湖縣,交通運輸,17,碼頭,澎湖縣中衛港,23.572743206845104,119.5885155716692
X,澎湖縣,交通運輸,17,碼頭,澎湖縣馬公第二漁港,23.56509369468973,119.5697102248046
X,澎湖縣,交通運輸,17,碼頭,澎湖縣中社漁港,23.37320482960661,119.49399767163638
X,澎湖縣,交通運輸,17,碼頭,澎湖縣馬公第一漁港,23.563018542310584,119.56811904089626
X,澎湖縣,交通運輸,17,碼頭,澎湖縣潭門漁港,23.362552333203563,119.50831834544886
X,澎湖縣,交通運輸,17,碼頭,澎湖縣中西漁港,23.60388992642389,119.61399497568978
X,澎湖縣,交通運輸,17,碼頭,澎湖縣白坑漁港,23.595093694470584,119.66160709864539
X,澎湖縣,交通運輸,17,碼頭,澎湖縣石泉風車漁港,23.551458665156492,119.59086799586385
X,澎湖縣,交通運輸,17,碼頭,澎湖縣成功漁港,23.583530317499243,119.62637179830634
X,澎湖縣,交通運輸,17,碼頭,澎湖縣中屯漁港,23.61195630991401,119.60164596068945
X,澎湖縣,交通運輸,17,碼頭,澎湖縣布袋港,23.372686206698198,119.50900581331743
X,澎湖縣,交通運輸,17,碼頭,澎湖縣烏崁舊漁港,23.542498567161186,119.62148573382117
X,澎湖縣,交通運輸,17,碼頭,澎湖縣山水漁港,23.513260635772404,119.59673946460909
X,澎湖縣,交通運輸,17,碼頭,澎湖縣紅羅漁港,23.598181105056955,119.64066284315753
X,澎湖縣,交通運輸,17,碼頭,澎湖縣城前漁港,23.62397576440284,119.59599260101066
X,澎湖縣,交通運輸,17,碼頭,澎湖縣井垵舊港,23.526994166914648,119.58091951991513
X,澎湖縣,交通運輸,17,碼頭,澎湖縣五德漁港,23.531080346013688,119.58792803031338
X,澎湖縣,交通運輸,17,碼頭,澎湖縣鎖港漁港,23.526186965823417,119.60527240602747
X,澎湖縣,交通運輸,17,碼頭,澎湖縣風櫃西漁港避風港,23.546415742304216,119.54372560261518
X,澎湖縣,交通運輸,17,碼頭,澎湖縣赤崁漁港,23.66717046835935,119.60357858824523
X,澎湖縣,交通運輸,17,碼頭,澎湖縣桶盤漁港,23.51274318662134,119.51836427056105
X,澎湖縣,交通運輸,17,碼頭,澎湖縣後寮漁港,23.67172365760681,119.5691964908535
